beds,baths,size,size_units,lot_size,lot_size_units,zip_code,latitudes,longitudes,price
2,2.0,968.0,sqft,656.0,sqft,98103,47.6733,-122.3426,715000.0
2,1.0,970.0,sqft,2714.0,sqft,98103,47.6733,-122.3426,1075000.0
6,4.0,3300.0,sqft,3810.0,sqft,98103,47.6733,-122.3426,1237500.0
3,3.5,1690.0,sqft,1444.0,sqft,98103,47.6733,-122.3426,965000.0
2,2.0,1570.0,sqft,3250.0,sqft,98103,47.6733,-122.3426,715000.0
3,2.0,1320.0,sqft,1386.0,sqft,98103,47.6733,-122.3426,899000.0
3,2.5,1420.0,sqft,1873.0,sqft,98103,47.6733,-122.3426,890000.0
2,2.5,1470.0,sqft,780.0,sqft,98103,47.6733,-122.3426,885000.0
5,4.0,2810.0,sqft,5000.0,sqft,98103,47.6733,-122.3426,1295000.0
3,0.5,1941.0,sqft,3726.0,sqft,98103,47.6733,-122.3426,892700.0
5,2.0,2800.0,sqft,6250.0,sqft,98103,47.6733,-122.3426,1200000.0
2,2.5,1160.0,sqft,1332.0,sqft,98103,47.6733,-122.3426,850000.0
4,2.0,2340.0,sqft,4560.0,sqft,98103,47.6733,-122.3426,1800000.0
4,3.5,2970.0,sqft,3751.0,sqft,98103,47.6733,-122.3426,2080000.0
3,2.0,1799.0,sqft,1471.0,sqft,98103,47.6733,-122.3426,940000.0
4,2.0,1545.0,sqft,4963.0,sqft,98103,47.6733,-122.3426,1253000.0
3,3.5,1360.0,sqft,1248.0,sqft,98103,47.6733,-122.3426,700000.0
3,2.5,2260.0,sqft,4000.0,sqft,98103,47.6733,-122.3426,1406000.0
7,3.5,4530.0,sqft,5047.0,sqft,98103,47.6733,-122.3426,2950000.0
4,2.0,1160.0,sqft,4224.0,sqft,98103,47.6733,-122.3426,710000.0
2,2.5,1400.0,sqft,1112.0,sqft,98103,47.6733,-122.3426,850000.0
4,3.5,3018.0,sqft,3600.0,sqft,98103,47.6733,-122.3426,1795000.0
