beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,lat,lon
4,4.0,2650,sqft,6000.0,sqft,98103,1000000,47.6733,-122.3426
5,4.0,4210,sqft,5200.0,sqft,98105,2625000,47.6633,-122.3022
4,3.0,2840,sqft,9996.0,sqft,98177,1350000,22.7912,-102.632
2,1.0,980,sqft,4100.0,sqft,98107,863000,47.6701,-122.3763
4,4.5,2440,sqft,5000.0,sqft,98105,1900000,47.6633,-122.3022
2,2.0,1140,sqft,2550.0,sqft,98117,590000,47.6873,-122.3772
4,3.5,1824,sqft,3250.0,sqft,98103,1299000,47.6733,-122.3426
2,2.0,1115,sqft,41817.6,sqft,98121,1069000,47.6151,-122.3447
4,3.0,2478,sqft,4001.0,sqft,98105,2095000,47.6633,-122.3022
2,2.0,1140,sqft,5445.0,sqft,98133,665000,47.7377,-122.3431
3,1.5,1172,sqft,5760.0,sqft,98122,685000,47.6116,-122.3056
2,2.0,1433,sqft,1948.0,sqft,98136,750000,47.5398,-122.3878
3,2.0,1520,sqft,4000.0,sqft,98117,760000,47.6873,-122.3772
3,2.5,1380,sqft,2250.0,sqft,98106,590000,47.5344,-122.3547
15,6.0,11010,sqft,14374.800000000001,sqft,98112,3700000,47.6301,-122.2972
4,2.0,1750,sqft,4950.0,sqft,98105,1025000,47.6633,-122.3022
3,2.5,3590,sqft,4250.0,sqft,98103,1725000,47.6733,-122.3426
5,3.0,2040,sqft,6180.0,sqft,98118,605000,47.5412,-122.275
2,2.0,1560,sqft,6750.0,sqft,98115,980000,47.6849,-122.2968
2,2.5,1088,sqft,5500.0,sqft,98107,835000,47.6701,-122.3763
2,1.0,1460,sqft,5700.0,sqft,98115,400000,47.6849,-122.2968
3,2.0,1380,sqft,2909.0,sqft,98117,800000,47.6873,-122.3772
2,1.0,1000,sqft,4640.0,sqft,98116,793000,47.5746,-122.3934
2,2.0,1128,sqft,6000.0,sqft,98144,625000,47.5846,-122.3005
1,1.0,776,sqft,47480.4,sqft,98116,515000,47.5746,-122.3934
3,2.5,2000,sqft,7440.0,sqft,98106,799000,47.5344,-122.3547
4,5.5,2867,sqft,4983.0,sqft,98115,1750000,47.6849,-122.2968
4,3.0,1180,sqft,4650.0,sqft,98117,956300,47.6873,-122.3772
3,2.0,1920,sqft,3154.0,sqft,98199,1067000,47.6488,-122.3964
2,2.0,2220,sqft,5950.0,sqft,98126,551000,47.5444,-122.3735
2,3.0,1300,sqft,915.0,sqft,98107,780000,47.6701,-122.3763
3,2.0,1460,sqft,5005.0,sqft,98106,583000,47.5344,-122.3547
3,2.5,2500,sqft,4305.0,sqft,98117,1685000,47.6873,-122.3772
3,2.5,1540,sqft,1037.0,sqft,98122,852500,47.6116,-122.3056
5,3.0,2550,sqft,6604.0,sqft,98106,940000,47.5344,-122.3547
3,2.5,1520,sqft,1062.0,sqft,98106,540700,47.5344,-122.3547
1,1.0,640,sqft,15245.999999999998,sqft,98104,345000,47.6036,-122.3256
4,3.0,2190,sqft,5136.0,sqft,98126,860000,47.5444,-122.3735
2,1.0,930,sqft,6000.0,sqft,98133,620000,47.7377,-122.3431
5,2.5,2900,sqft,10018.800000000001,sqft,98106,800000,47.5344,-122.3547
4,3.5,2780,sqft,4000.0,sqft,98112,950000,47.6301,-122.2972
3,1.0,2560,sqft,8927.0,sqft,98125,776000,47.717,-122.3015
3,2.5,1566,sqft,1602.0,sqft,98122,875000,47.6116,-122.3056
2,2.0,1245,sqft,179031.6,sqft,98168,330000,47.4889,-122.3012
3,2.5,1190,sqft,1290.0,sqft,98144,750000,47.5846,-122.3005
5,2.5,2760,sqft,6350.0,sqft,98126,1025000,47.5444,-122.3735
4,1.5,3260,sqft,5568.0,sqft,98199,1695000,47.6488,-122.3964
4,3.0,2380,sqft,4635.0,sqft,98115,1399999,47.6849,-122.2968
2,2.5,1884,sqft,11761.2,sqft,98116,925000,47.5746,-122.3934
3,2.5,1712,sqft,1215.0,sqft,98117,910000,47.6873,-122.3772
2,2.0,1196,sqft,780.0,sqft,98107,734999,47.6701,-122.3763
3,2.0,1098,sqft,2320.0,sqft,98105,864950,47.6633,-122.3022
3,3.0,1250,sqft,6350.0,sqft,98117,815000,47.6873,-122.3772
1,1.0,880,sqft,4500.0,sqft,98122,700000,47.6116,-122.3056
4,2.0,1595,sqft,5500.0,sqft,98118,525000,47.5412,-122.275
3,3.0,2380,sqft,5000.0,sqft,98136,1230000,47.5398,-122.3878
3,2.0,3190,sqft,4380.0,sqft,98112,2700000,47.6301,-122.2972
3,2.5,1465,sqft,2973.0,sqft,98119,1175000,47.6379,-122.3643
4,2.0,2910,sqft,8360.0,sqft,98115,1400000,47.6849,-122.2968
2,3.0,1140,sqft,650.0,sqft,98144,675000,47.5846,-122.3005
1,1.0,500,sqft,4000.0,sqft,98168,385000,47.4889,-122.3012
3,2.0,1580,sqft,6400.0,sqft,98126,942000,47.5444,-122.3735
5,3.0,2430,sqft,7812.0,sqft,98133,915000,47.7377,-122.3431
2,2.0,2360,sqft,5800.0,sqft,98199,1460000,47.6488,-122.3964
3,2.5,1396,sqft,4800.0,sqft,98136,780000,47.5398,-122.3878
4,2.0,2340,sqft,7500.0,sqft,98115,925000,47.6849,-122.2968
4,1.5,2140,sqft,6511.0,sqft,98125,700500,47.717,-122.3015
4,3.0,2980,sqft,4480.0,sqft,98105,1090000,47.6633,-122.3022
3,1.5,1390,sqft,9350.0,sqft,98168,412000,47.4889,-122.3012
2,1.0,720,sqft,4240.0,sqft,98106,525000,47.5344,-122.3547
4,2.5,1850,sqft,2856.0,sqft,98108,945000,47.5413,-122.3129
3,4.5,1710,sqft,1326.0,sqft,98126,725000,47.5444,-122.3735
2,1.0,970,sqft,15245.999999999998,sqft,98106,386000,47.5344,-122.3547
3,2.0,1606,sqft,900.0,sqft,98109,1450000,47.6339,-122.3476
3,2.5,1815,sqft,1500.0,sqft,98103,1295000,47.6733,-122.3426
2,1.0,1120,sqft,1188.0,sqft,98122,700000,47.6116,-122.3056
4,2.0,2220,sqft,9295.0,sqft,98177,995000,22.7912,-102.632
3,2.0,1460,sqft,4590.0,sqft,98117,888000,47.6873,-122.3772
5,3.0,3820,sqft,7980.0,sqft,98116,1575000,47.5746,-122.3934
